Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts
G,478,Sá,5.0,5.0,Wolves,47,1.62
M,479,Dendoncker,4.7,4.7,Aston Villa,27,1.08
M,480,Neves,5.2,5.2,Wolves,71,1.99
M,481,Hwang,5.7,5.7,Wolves,37,1.54
D,482,Semedo,5.0,5.0,Wolves,74,1.34
M,483,Podence,5.1,5.1,Wolves,33,1.42
D,484,Kilman,4.3,4.3,Wolves,80,1.31
M,485,Cundle,4.4,4.4,Wolves,0,0.00
M,486,Neto,4.9,4.9,Wolves,46,1.86
D,487,Aït-Nouri,4.1,4.1,Wolves,4,0.12
F,488,Fabio Silva,5.5,5.5,Wolves,0,0.00
D,489,Toti,3.9,3.9,Wolves,47,0.90
M,490,Chiquinho,5.0,5.0,Wolves,0,0.00
M,491,Adama,5.3,5.3,Wolves,25,1.12
G,492,Šarkić,3.9,3.9,Wolves,0,0.00
M,493,Gibbs-White,5.5,5.5,Nott'm Forest,83,3.35
D,494,Mosquera,3.9,3.9,Wolves,0,0.00
G,495,Matthews,4.0,4.0,Crystal Palace,0,0.00
F,496,Plange,4.5,4.5,Crystal Palace,0,0.00
G,497,Adrián,3.8,3.8,Liverpool,0,0.00
D,498,R.Williams,4.0,4.0,Liverpool,0,0.00
D,499,Davies,4.0,4.0,Liverpool,0,0.00
D,500,Van den Berg,4.0,4.0,Liverpool,0,0.00
D,501,Phillips,3.8,3.8,Liverpool,0,0.00
G,502,Carson,3.8,3.8,Man City,0,0.00
M,503,Moutinho,4.6,4.6,Wolves,12,0.53
D,504,Malacia,4.2,4.2,Man Utd,11,0.48
M,505,Rothwell,4.9,4.9,Bournemouth,63,2.30
M,506,Adams,4.9,4.9,Leeds,0,0.00
D,507,Niakhaté,4.3,4.3,Nott'm Forest,84,2.44
M,508,Sinisterra,6.5,6.5,Leeds,0,0.00
M,509,Downes,4.2,4.2,West Ham,9,0.35
D,510,Hickey,4.9,4.9,Brentford,71,1.73
D,511,Richards,4.4,4.4,Nott'm Forest,0,0.00
M,512,Aribo,5.0,5.0,Southampton,11,0.57
D,513,Lenglet,4.8,4.8,Spurs,78,2.28
M,514,C.Doucouré,5.0,5.0,Crystal Palace,81,2.77
M,515,Lewis-Potter,5.2,5.2,Brentford,0,0.00
D,516,Collins,4.3,4.3,Wolves,17,0.33
G,517,Strakosha,4.3,4.3,Brentford,1,0.05
G,518,Hennessey,3.9,3.9,Nott'm Forest,0,0.00
M,519,Eriksen,6.2,6.2,Man Utd,69,4.16
D,520,Koulibaly,5.5,5.5,Chelsea,24,0.74
M,521,Francois,4.4,4.4,Fulham,0,0.00
D,522,Spence,4.1,4.1,Spurs,0,0.00
D,523,Toffolo,4.3,4.3,Nott'm Forest,15,0.58
M,524,O'Brien,4.7,4.7,Nott'm Forest,0,0.00
D,525,Augustinsson,4.3,4.3,Aston Villa,0,0.00
D,526,Mee,4.9,4.9,Brentford,88,2.14
M,527,Lingard,5.4,5.4,Nott'm Forest,2,0.18
F,528,Mara,5.3,5.3,Southampton,2,0.16
F,529,Scamacca,6.6,6.6,West Ham,0,0.00
D,530,Richards,4.4,4.4,Crystal Palace,15,0.69
D,531,Vinagre,4.3,4.3,Everton,5,0.25
D,532,Mbabu,4.3,4.3,Fulham,0,0.00
D,533,Martínez,4.4,4.4,Man Utd,0,0.00
M,534,McNeil,5.1,5.1,Everton,76,3.71
M,535,Tavernier,4.7,4.7,Bournemouth,0,0.00
M,536,Mangala,4.9,4.9,Nott'm Forest,65,2.02
D,537,Kesler Hayden,4.0,4.0,Aston Villa,0,0.00
D,538,Young,4.3,4.3,Aston Villa,36,1.34
D,539,Hill,4.4,4.4,Bournemouth,0,0.00
D,540,Stevens,4.0,4.0,Brentford,0,0.00
F,541,Dervişoğlu,4.5,4.5,Brentford,0,0.00
G,542,Scherpen,4.0,4.0,Brighton,0,0.00
D,543,Clarke,4.0,4.0,Brighton,0,0.00
D,544,Van Hecke,4.0,4.0,Brighton,19,0.64
D,545,Emerson,4.0,4.0,West Ham,26,0.91
M,546,Harris,4.3,4.3,Fulham,0,0.00
D,547,Drameh,4.0,4.0,Leeds,0,0.00
G,548,Iversen,3.9,3.9,Leicester,89,3.66
M,549,Praet,4.8,4.8,Leicester,25,1.31
M,550,Amad,4.4,4.4,Man Utd,0,0.00
M,551,Iqbal,4.2,4.2,Man Utd,0,0.00
M,552,Anderson,4.3,4.3,Newcastle,41,1.51
M,553,Hammond,4.2,4.2,Nott'm Forest,0,0.00
M,554,Bryan,5.0,5.0,Spurs,0,0.00
D,555,Ashby,3.8,3.8,Newcastle,2,0.07
M,556,Coventry,4.4,4.4,West Ham,0,0.00
G,557,Smith,3.9,3.9,Wolves,0,0.00
D,558,Bueno,3.8,3.8,Wolves,42,1.01
D,559,Colwill,4.4,4.4,Brighton,75,2.40
M,560,Mills,4.3,4.3,Everton,2,0.13
M,561,Warrington,4.4,4.4,Everton,0,0.00
M,562,Solomon,4.9,4.9,Fulham,29,1.23
D,563,Chambers,4.0,4.0,Liverpool,0,0.00
M,564,Bajcetic,4.3,4.3,Liverpool,0,0.00
M,565,Gray,4.5,4.5,Leeds,0,0.00
M,566,Hodge,4.3,4.3,Wolves,1,0.05
M,567,Ronan,4.4,4.4,Wolves,0,0.00
M,568,Campbell,4.4,4.4,Wolves,0,0.00
M,569,Garnacho,4.1,4.1,Man Utd,16,1.04
M,570,Garner,4.5,4.5,Everton,60,2.59
G,571,Randolph,4.0,4.0,Bournemouth,0,0.00
M,572,Oko-Flex,4.4,4.4,West Ham,0,0.00
D,573,Lewis,3.8,3.8,Man City,18,0.88
G,574,Neto,4.5,4.5,Bournemouth,89,3.22
M,575,Cornet,5.9,5.9,West Ham,24,1.18
D,576,Senesi,4.4,4.4,Bournemouth,52,1.38
M,577,Onana,4.7,4.7,Everton,42,1.82
G,578,Robles,4.0,4.0,Leeds,85,3.11
M,579,Guedes,5.8,5.8,Wolves,0,0.00
M,580,Damsgaard,5.0,5.0,Brentford,38,1.60
G,581,Smithies,3.9,3.9,Leicester,0,0.00
M,582,Freuler,4.9,4.9,Nott'm Forest,13,0.51
M,583,Kouyaté,4.4,4.4,Nott'm Forest,30,1.16
M,584,Clark,4.5,4.5,Liverpool,0,0.00
F,585,Dennis,5.6,5.6,Nott'm Forest,8,0.46
D,586,Estupiñán,5.0,5.0,Brighton,83,2.97
D,587,Sergio Gómez,4.4,4.4,Man City,3,0.12
D,588,Kehrer,4.3,4.3,West Ham,18,0.54
M,589,Matheus,4.8,4.8,Wolves,67,2.09
G,590,Whitworth,4.0,4.0,Crystal Palace,0,0.00
F,591,Ablade,4.5,4.5,Fulham,0,0.00
G,592,H.Davies,4.0,4.0,Liverpool,0,0.00
M,593,Casemiro,4.9,4.9,Man Utd,81,3.00
F,594,Isak,7.0,6.9,Newcastle,70,3.71
D,595,Zanka,3.9,3.9,Brentford,26,0.66
F,596,Ferguson,4.6,4.6,Brighton,47,2.71
F,597,Saydee,4.5,4.5,Bournemouth,0,0.00
D,598,Bevan,4.0,4.0,Bournemouth,0,0.00
M,599,Gomes,4.5,4.5,Man City,0,0.00
M,600,Knight,4.5,4.5,Man City,0,0.00
M,601,Rodney,4.5,4.5,Crystal Palace,2,0.12
D,602,Renan Lodi,4.3,4.3,Nott'm Forest,77,2.65
M,603,Paquetá,5.9,5.9,West Ham,68,2.83
M,604,Phillips,4.5,4.5,Crystal Palace,0,0.00
D,605,Welch,4.0,4.0,Everton,6,0.22
M,606,Vale,4.5,4.5,Chelsea,0,0.00
M,607,Smith,4.4,4.4,Arsenal,0,0.00
F,608,Kalajdžić,5.3,5.3,Wolves,0,0.00
M,609,Antony,7.3,7.3,Man Utd,65,3.89
D,610,Akanji,5.1,5.1,Man City,64,2.81
M,611,Gueye,4.7,4.7,Everton,74,2.58
D,612,Faes,4.2,4.2,Leicester,86,3.22
D,613,Kurzawa,4.3,4.3,Fulham,3,0.10
M,614,Willian,5.5,5.5,Fulham,66,2.69
G,615,Kovár,4.0,4.0,Man Utd,0,0.00
M,616,Zakaria,4.9,4.9,Chelsea,17,0.69
F,617,Aubameyang,8.4,8.4,Chelsea,3,0.24
F,618,Vinícius,5.4,5.4,Fulham,28,1.28
F,619,Gnonto,4.7,4.7,Leeds,41,2.06
M,620,Arthur,4.8,4.8,Liverpool,3,0.19
D,621,Badé,4.5,4.5,Nott'm Forest,0,0.00
D,622,Larios,4.0,4.0,Southampton,0,0.00
D,623,Caleta-Car,4.4,4.4,Southampton,24,0.53
M,624,Edozie,4.6,4.6,Southampton,0,0.00
F,625,Diego Costa,5.3,5.3,Wolves,55,2.07
G,626,Karius,3.9,3.9,Newcastle,0,0.00
G,627,Jakupović,4.0,4.0,Everton,0,0.00
D,628,Aurier,4.3,4.3,Nott'm Forest,86,2.82
M,629,Traoré,4.3,4.3,Wolves,9,0.33
M,630,Nwaneri,4.5,4.5,Arsenal,0,0.00
D,631,Sousa,4.0,4.0,Arsenal,3,0.10
M,632,Trevitt,4.4,4.4,Brentford,0,0.00
G,633,Cox,3.9,3.9,Brentford,0,0.00
F,634,Gordon,4.5,4.5,Crystal Palace,0,0.00
G,635,Bettinelli,4.0,4.0,Chelsea,0,0.00
D,636,Parkes,4.0,4.0,Fulham,2,0.03
D,637,John,3.9,3.9,Everton,6,0.22
D,638,Bogarde,4.0,4.0,Aston Villa,0,0.00
M,639,Braybrooke,4.5,4.5,Leicester,0,0.00
D,640,Turns,4.0,4.0,Brighton,0,0.00
M,641,Godo,4.5,4.5,Fulham,0,0.00
D,642,Balmer,4.0,4.0,Crystal Palace,0,0.00
M,643,Mainoo,4.5,4.5,Man Utd,0,0.00
G,644,Goodman,4.0,4.0,Crystal Palace,0,0.00
D,645,Wormleighton,4.0,4.0,Leicester,0,0.00
D,646,Crama,4.0,4.0,Brentford,0,0.00
M,647,Payne,4.5,4.5,Southampton,0,0.00
M,648,Finnigan,4.5,4.5,Southampton,0,0.00
G,649,Plain,4.0,4.0,Bournemouth,0,0.00
M,650,Yarmolyuk,4.5,4.5,Brentford,0,0.00
M,651,Moran,4.5,4.5,Brighton,5,0.27
D,652,Furlong,4.0,4.0,Brighton,0,0.00
M,653,Hutchinson,4.2,4.2,Chelsea,0,0.00
M,654,Wells-Morrison,4.5,4.5,Crystal Palace,3,0.16
G,655,Hein,3.9,3.9,Arsenal,0,0.00
G,656,Bishop,4.0,4.0,Man Utd,0,0.00
F,657,Fraser,4.5,4.5,Wolves,0,0.00
M,658,Griffiths,4.4,4.4,Wolves,0,0.00
F,659,Mateo Joseph,4.5,4.5,Leeds,0,0.00
F,660,Shoretire,4.5,4.5,Man Utd,0,0.00
M,661,Hall,4.3,4.3,Chelsea,49,1.62
F,662,Cannon,4.5,4.5,Everton,0,0.00
F,663,Perkins,4.5,4.5,Leeds,0,0.00
D,664,Lembikisa,4.0,4.0,Wolves,0,0.00
M,665,Doak,4.5,4.5,Liverpool,0,0.00
F,666,Dale Taylor,4.5,4.5,Nott'm Forest,0,0.00
M,667,Sekularac,4.5,4.5,Fulham,0,0.00
M,668,Cozier-Duberry,4.5,4.5,Arsenal,0,0.00
F,669,Mubama,4.5,4.5,West Ham,0,0.00
G,670,Marschall,4.0,4.0,Aston Villa,0,0.00
F,671,Morgan,4.5,4.5,Southampton,0,0.00
M,672,Kadan Young,4.5,4.5,Aston Villa,0,0.00
D,673,Humphreys,4.5,4.5,Chelsea,0,0.00
D,674,Bennett,4.0,4.0,Man Utd,0,0.00
G,675,Smith,4.0,4.0,Nott'm Forest,0,0.00
M,676,Ozoh,4.5,4.5,Crystal Palace,2,0.15
M,677,Hinshelwood,4.5,4.5,Brighton,0,0.00
M,678,Price,4.5,4.5,Everton,0,0.00
M,679,Buonanotte,4.5,4.5,Brighton,40,1.84
M,680,Gakpo,7.6,7.6,Liverpool,73,5.57
M,681,Scarpa,4.6,4.6,Nott'm Forest,0,0.00
F,682,Cunha,5.3,5.3,Wolves,66,2.48
M,683,Kuol,4.5,4.5,Newcastle,0,0.00
F,684,D.D.Fofana,5.0,5.0,Chelsea,4,0.33
F,685,Butler-Oyedeji,4.5,4.5,Arsenal,0,0.00
F,686,Simms,4.5,4.5,Everton,6,0.42
M,687,McAteer,4.5,4.5,Leicester,0,0.00
M,688,Schade,4.9,4.9,Brentford,68,2.70
D,689,Badiashile,5.0,5.0,Chelsea,4,0.13
F,690,João Félix,7.1,7.1,Chelsea,47,2.57
D,691,Wöber,4.4,4.4,Leeds,83,2.30
M,692,Orsic,5.1,5.1,Southampton,3,0.24
M,693,Alcaraz,5.0,5.0,Southampton,69,2.46
D,694,Álex Moreno,4.5,4.5,Aston Villa,70,2.62
F,695,Adu-Adjei,4.5,4.5,Bournemouth,0,0.00
M,696,Dacosta Gonzalez,4.4,4.4,Bournemouth,0,0.00
F,697,Sadi,4.5,4.5,Bournemouth,0,0.00
M,698,Lemina,4.5,4.5,Wolves,67,1.86
M,699,Mudryk,6.4,6.4,Chelsea,40,1.95
F,700,Rutter,5.0,5.0,Leeds,14,0.87
F,701,Weghorst,5.4,5.4,Man Utd,20,1.43
M,702,Andrey Santos,4.5,4.5,Chelsea,0,0.00
M,703,Danilo,4.5,4.5,Nott'm Forest,79,2.41
M,704,Sarabia,4.9,4.9,Wolves,32,1.43
M,705,Ouattara,5.0,5.0,Bournemouth,54,2.08
F,706,Pollock,4.5,4.5,Bournemouth,0,0.00
G,707,Sinisalo,4.0,4.0,Aston Villa,0,0.00
M,708,Madueke,5.4,5.4,Chelsea,46,2.02
D,709,Kristiansen,4.5,4.5,Leicester,30,1.30
D,710,Kiwior,4.0,4.0,Arsenal,75,3.85
F,711,Durán,5.5,5.5,Aston Villa,2,0.18
M,712,Perrone,4.4,4.4,Man City,0,0.00
M,713,Danjuma,6.1,6.1,Spurs,13,0.99
F,714,Semenyo,5.0,5.0,Bournemouth,0,0.00
M,715,Tetê,4.9,4.9,Leicester,31,1.77
D,716,Bree,4.5,4.5,Southampton,0,0.00
G,717,Bentley,4.0,4.0,Wolves,43,1.49
D,718,Viña,4.5,4.5,Bournemouth,69,2.33
M,719,Ayari,4.5,4.5,Brighton,14,0.59
M,720,McKennie,4.6,4.6,Leeds,64,2.52
M,721,João Gomes,4.5,4.5,Wolves,19,0.73
D,722,Zabarnyi,4.5,4.5,Bournemouth,56,1.41
M,723,H.Traorè,4.5,4.5,Bournemouth,5,0.25
M,724,Enzo,5.0,5.0,Chelsea,82,2.51
M,725,Ahamada,4.5,4.5,Crystal Palace,10,0.47
M,726,Lukic,4.5,4.5,Fulham,37,1.22
D,727,Souttar,4.5,4.5,Leicester,13,0.51
M,728,Sabitzer,4.7,4.7,Man Utd,0,0.00
G,729,Navas,4.5,4.5,Nott'm Forest,89,3.36
D,730,Felipe,4.5,4.5,Nott'm Forest,85,2.50
M,731,Kamaldeen,4.9,4.9,Southampton,49,2.05
F,732,Onuachu,5.3,5.3,Southampton,23,1.29
D,733,Pedro Porro,4.8,4.8,Spurs,79,3.20
M,734,A.Ayew,5.0,5.0,Nott'm Forest,17,0.88
M,735,Marçal-Madivadua,4.5,4.5,Leicester,0,0.00
D,736,Offiah,4.0,4.0,Brighton,3,0.10
D,737,Greenwood,4.0,4.0,Bournemouth,0,0.00
D,738,Kinsey-Wellings,4.0,4.0,Bournemouth,0,0.00
G,739,Anang,4.0,4.0,West Ham,0,0.00
G,740,Hegyi,3.9,3.9,West Ham,0,0.00
M,741,Miley,4.5,4.5,Newcastle,2,0.11
D,742,Chilokoa-Mullen,4.0,4.0,Leeds,0,0.00
D,743,Monteiro,4.0,4.0,Leeds,2,0.05
D,744,Swinkels,4.0,4.0,Aston Villa,0,0.00
G,745,Zych,4.0,4.0,Aston Villa,0,0.00
D,746,Casey,4.0,4.0,West Ham,0,0.00
G,747,Wickens,4.0,4.0,Fulham,0,0.00
M,748,Mundle,4.5,4.5,Spurs,0,0.00
G,749,G.Shelvey,4.0,4.0,Nott'm Forest,0,0.00
D,750,C.Robinson,4.0,4.0,Fulham,0,0.00
D,751,Walters,4.0,4.0,Arsenal,5,0.23
M,752,Olakigbe,4.5,4.5,Brentford,0,0.00
G,753,Wright,4.0,4.0,Aston Villa,0,0.00
D,754,Revan,4.0,4.0,Aston Villa,0,0.00
M,755,Patterson,4.5,4.5,Aston Villa,0,0.00
G,756,McGill,4.0,4.0,Brighton,2,0.07
D,757,Samuels-Smith,4.0,4.0,Everton,6,0.23
M,758,Abbott,4.5,4.5,Spurs,0,0.00
D,759,Jurado,4.0,4.0,Man Utd,0,0.00
G,760,Lonergan,4.0,4.0,Everton,0,0.00
M,761,O'Reilly,4.5,4.5,Aston Villa,0,0.00
M,762,Peupion,4.5,4.5,Brighton,9,0.44
M,763,Dibley-Dias,4.5,4.5,Fulham,0,0.00
M,764,Craig,4.5,4.5,Spurs,0,0.00
D,765,Samuels,4.0,4.0,Brighton,4,0.13
G,10023,Alfie Whiteman,99.9,99.9,Spurs,0,0.00
G,10104,Mark Gillespie,99.9,99.9,Newcastle,0,0.00
D,10201,Teden Mengi,99.9,99.9,Man Utd,0,0.00
D,10241,Benjamin Mendy,99.9,99.9,Man City,0,0.00
M,10249,Matty Longstaff,99.9,99.9,Newcastle,21,0.94
F,10263,Mason Greenwood,99.9,99.9,Man Utd,0,0.00
G,10264,Jed Steer,99.9,99.9,Aston Villa,0,0.00
G,10351,Gabriel Slonina,99.9,99.9,Chelsea,0,0.00
G,10359,Louie Moulden,99.9,99.9,Wolves,0,0.00
